"Meters","Total Time","Pace","Date","Age","Class","Type","Comments",
"4820","30:00.0","3:06.7","2013-03-20","57","L","standard","Day #1, Shenzhen Physical Club, after two weeks no exercise, 64.2 kg",
"8400","53:00.0","3:09.2","2013-03-21","57","L","standard","Day #2, Shenzhen, 3(2k+2')",
"7600","00:00.0","","2013-04-01","57","L","standard","3(2k+2), but battery doesn't HOLD",
"0","00:00.0","","2013-04-02","57","L","standard","",
"8400","52:30.0","3:07.5","2013-04-03","57","L","standard","3(2k+2), sick, poor form",
"6700","40:00.0","2:59.1","2013-04-04","57","L","standard","30' SS",
"6200","40:00.0","3:13.5","2013-04-05","57","L","standard","SZX - last day",
"0","00:00.0","","2013-04-06","57","L","standard","",
"0","00:00.0","","2013-04-07","57","L","standard","",
"0","00:00.0","","2013-04-08","57","L","standard","",
"0","00:00.0","","2013-04-09","57","L","standard","",
"8300","53:00.0","3:11.5","2013-04-10","57","L","standard","3(2k+2) BKK - Day #1 - Fitness 1st",
"7400","47:00.0","3:10.5","2013-04-11","57","L","standard","",
"3200","20:30.0","3:12.1","2013-04-12","57","L","standard","",
"0","00:00.0","","2013-04-13","57","L","standard","",
"0","00:00.0","","2013-04-14","57","L","standard","",
"0","00:00.0","","2013-04-15","57","L","standard","",
"4790","30:00.0","3:07.8","2013-04-16","57","L","standard","",
"6500","41:00.0","3:09.2","2013-04-19","57","L","standard","",
"2800","17:00.0","3:02.1","2013-04-20","57","L","standard","",
"4000","25:00.0","3:07.5","2013-04-21","57","L","standard","",
"9300","55:00.0","2:57.4","2013-04-22","57","L","standard","",
"3251","20:00.0","3:04.5","2013-04-23","57","L","standard","",
"0","00:00.0","","2013-04-25","57","L","standard","",
"0","00:00.0","","2013-04-24","57","L","standard","",
"9300","55:30.0","2:59.0","2013-04-26","57","L","standard","3(2k+2)",
"6100","40:00.0","3:16.7","2013-04-17","57","L","standard","",
"3100","20:00.0","3:13.5","2013-04-18","57","L","standard","",
"7900","45:00.0","2:50.8","2013-04-27","57","L","standard","4(500 m + 3')",
