"Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"2012-12-03 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No","kidney stone, fever?"
"2012-12-02 00:00:00","1,000m row","7:22.0","442","","","1000","","","","3:41.0","32","411","","","56","Lwt","Indoor Rower","No","kidney stone, fever? stop"
"2012-12-01 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No","kidney stone, fever?"
"2012-11-30 00:00:00","11,550m row","1:07:00.0","4020","","","11550","","","","2:54.0","66","528","","","56","Lwt","Indoor Rower","No","good mood; good control; increased goal once I started"
"2012-11-29 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-11-29 00:00:00","9,000m row","55:00.0","3300","","","9000","","","","3:03.3","57","495","","","56","Lwt","Indoor Rower","No","tough to finish, pizza, carbo loading?? - NO, no energy today"
"2012-11-27 00:00:00","8,000m row","49:00.0","2940","","","8000","","","","3:03.7","56","494","","","56","Lwt","Indoor Rower","No","3rd 2k - exhausted - why?"
"2012-11-26 00:00:00","8,200m row","51:00.0","3060","","","8200","","","","3:06.5","54","485","","","56","Lwt","Indoor Rower","No","fever? infection? poor performance"
"2012-11-25 00:00:00","10,200m row","1:02:00.0","3720","","","10200","","","","3:02.3","58","498","","","56","Lwt","Indoor Rower","No",""
"2012-11-24 00:00:00","9,500m row","57:00.0","3420","","","9500","","","","3:00.0","60","506","","","56","Lwt","Indoor Rower","No","Blood in urine - only small amt (after); v. tired, 3 days off"
"2012-11-23 00:00:00","4,300m row","27:00.0","1620","","","4300","","","","3:08.3","52","480","","","56","Lwt","Indoor Rower","No","stopped b/c blood in urine"
"2012-11-22 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-11-21 00:00:00","1,500m row","10:00.0","600","","","1500","","","","3:20.0","44","450","","","56","Lwt","Indoor Rower","No","Blood in urine; stop"
"2012-11-20 00:00:00","11,150m row","1:04:00.0","3840","","","11150","","","","2:52.2","69","536","","","56","Lwt","Indoor Rower","No",""
"2012-11-19 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-11-18 00:00:00","9,400m row","52:00.0","3120","","","9400","","","","2:45.9","77","563","","","56","Lwt","Indoor Rower","No",""
"2012-11-17 00:00:00","8,800m row","1:02:00.0","3720","","","8800","","","","3:31.3","37","427","","","56","Lwt","Indoor Rower","No",""
"2012-11-16 00:00:00","9,300m row","56:00.0","3360","","","9300","","","","3:00.6","59","504","","","56","Lwt","Indoor Rower","No",""
"2012-11-15 00:00:00","7,100m row","42:00.0","2520","","","7100","","","","2:57.4","63","515","","","56","Lwt","Indoor Rower","No",""
"2012-11-14 00:00:00","11,300m row","1:07:30.0","4050","","","11300","","","","2:59.2","61","509","","","56","Lwt","Indoor Rower","No",""
"2012-11-13 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-11-12 00:00:00","9,400m row","58:00.0","3480","","","9400","","","","3:05.1","55","490","","","56","Lwt","Indoor Rower","No",""
"2012-11-11 00:00:00","3,000m row","19:00.0","1140","","","3000","","","","3:10.0","51","475","","","56","Lwt","Indoor Rower","No",""
"2012-11-10 00:00:00","9,600m row","56:00.0","3360","","","9600","","","","2:55.0","65","524","","","56","Lwt","Indoor Rower","No",""
"2012-11-09 00:00:00","8,700m row","51:00.0","3060","","","8700","","","","2:55.8","64","521","","","56","Lwt","Indoor Rower","No",""
"2012-11-08 00:00:00","0m row","47:00.0","2820","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-11-07 00:00:00","8,200m row","47:00.0","2820","","","8200","","","","2:51.9","69","537","","","56","Lwt","Indoor Rower","No",""
"2012-11-06 00:00:00","9,000m row","54:00.0","3240","","","9000","","","","3:00.0","60","506","","","56","Lwt","Indoor Rower","No",""
"2012-11-05 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-11-04 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-11-03 00:00:00","8,400m row","49:00.0","2940","","","8400","","","","2:55.0","65","524","","","56","Lwt","Indoor Rower","No",""
"2012-11-02 00:00:00","5,800m row","33:00.0","1980","","","5800","","","","2:50.6","70","542","","","56","Lwt","Indoor Rower","No",""
"2012-11-01 00:00:00","9,100m row","53:00.0","3180","","","9100","","","","2:54.7","66","525","","","56","Lwt","Indoor Rower","No",""
"2012-10-31 00:00:00","3,300m row","20:00.0","1200","","","3300","","","","3:01.8","58","500","","","56","Lwt","Indoor Rower","No",""
"2012-10-30 00:00:00","5,700m row","34:00.0","2040","","","5700","","","","2:58.9","61","510","","","56","Lwt","Indoor Rower","No",""
"2012-10-29 00:00:00","8,500m row","42:00.0","2520","","","8500","","","","2:28.2","107","669","","","56","Lwt","Indoor Rower","No",""
"2012-10-28 00:00:00","10,800m row","1:06:00.0","3960","","","10800","","","","3:03.3","57","495","","","56","Lwt","Indoor Rower","No",""
"2012-10-27 00:00:00","9,100m row","54:00.0","3240","","","9100","","","","2:58.0","62","513","","","56","Lwt","Indoor Rower","No",""
"2012-10-26 00:00:00","8,700m row","50:00.0","3000","","","8700","","","","2:52.4","68","535","","","56","Lwt","Indoor Rower","No",""
"2012-10-25 00:00:00","7,900m row","45:00.0","2700","","","7900","","","","2:50.8","70","541","","","56","Lwt","Indoor Rower","No",""
"2012-10-24 00:00:00","8,800m row","53:00.0","3180","","","8800","","","","3:00.6","59","504","","","56","Lwt","Indoor Rower","No",""
"2012-10-23 00:00:00","9,100m row","56:00.0","3360","","","9100","","","","3:04.6","56","491","","","56","Lwt","Indoor Rower","No",""
"2012-10-22 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-10-21 00:00:00","11,200m row","1:05:00.0","3900","","","11200","","","","2:54.1","66","528","","","56","Lwt","Indoor Rower","No",""
"2012-10-20 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-10-19 00:00:00","8,200m row","51:00.0","3060","","","8200","","","","3:06.5","54","485","","","56","Lwt","Indoor Rower","No",""
"2012-10-18 00:00:00","8,700m row","51:00.0","3060","","","8700","","","","2:55.8","64","521","","","56","Lwt","Indoor Rower","No",""
"2012-10-17 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-10-16 00:00:00","6,900m row","43:00.0","2580","","","6900","","","","3:06.9","54","484","","","56","Lwt","Indoor Rower","No","@Berkeley Y - Day #1 (tired, travel day)"
"2012-10-15 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No","no exercise; job interview in lasvegas"
"2012-10-14 00:00:00","9,100m row","51:00.0","3060","","","9100","","","","2:48.1","74","553","","","56","Lwt","Indoor Rower","No",""
"2012-10-13 00:00:00","3,400m row","22:00.0","1320","","","3400","","","","3:14.1","48","464","","","56","Lwt","Indoor Rower","No",""
"2012-10-12 00:00:00","7,200m row","41:00.0","2460","","","7200","","","","2:50.8","70","541","","","56","Lwt","Indoor Rower","No",""
"2012-10-11 00:00:00","8,200m row","56:00.0","3360","","","8200","","","","3:24.8","41","440","","","56","Lwt","Indoor Rower","No",""
"2012-10-10 00:00:00","8,100m row","50:00.0","3000","","","8100","","","","3:05.1","55","489","","","56","Lwt","Indoor Rower","No",""
"2012-10-09 00:00:00","10,800m row","1:07:00.0","4020","","","10800","","","","3:06.1","54","487","","","56","Lwt","Indoor Rower","No",""
"2012-10-08 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-10-07 00:00:00","7,800m row","48:00.0","2880","","","7800","","","","3:04.6","56","491","","","56","Lwt","Indoor Rower","No",""
"2012-10-06 00:00:00","6,700m row","40:00.0","2400","","","6700","","","","2:59.1","61","509","","","56","Lwt","Indoor Rower","No",""
"2012-10-05 00:00:00","8,200m row","51:00.0","3060","","","8200","","","","3:06.5","54","485","","","56","Lwt","Indoor Rower","No",""
"2012-10-04 00:00:00","10,000m row","59:00.0","3540","","","10000","","","","2:57.0","63","517","","","56","Lwt","Indoor Rower","No",""
"2012-10-03 00:00:00","8,000m row","48:00.0","2880","","","8000","","","","3:00.0","60","506","","","56","Lwt","Indoor Rower","No",""
"2012-10-02 00:00:00","5,900m row","37:00.0","2220","","","5900","","","","3:08.1","53","481","","","56","Lwt","Indoor Rower","No",""
"2012-10-01 00:00:00","7,600m row","41:00.0","2460","","","7600","","","","2:41.8","83","584","","","56","Lwt","Indoor Rower","No",""
"2012-09-30 00:00:00","8,100m row","48:00.0","2880","","","8100","","","","2:57.7","62","514","","","56","Lwt","Indoor Rower","No",""
"2012-09-29 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-09-28 00:00:00","5,000m row","31:00.0","1860","","","5000","","","","3:06.0","54","487","","","56","Lwt","Indoor Rower","No",""
"2012-09-27 00:00:00","6,600m row","39:00.0","2340","","","6600","","","","2:57.2","63","516","","","56","Lwt","Indoor Rower","No",""
"2012-09-26 00:00:00","6,700m row","35:00.0","2100","","","6700","","","","2:36.7","91","613","","","56","Lwt","Indoor Rower","No",""
"2012-09-25 00:00:00","7,900m row","46:00.0","2760","","","7900","","","","2:54.6","66","526","","","56","Lwt","Indoor Rower","No",""
"2012-09-24 00:00:00","6,200m row","37:00.0","2220","","","6200","","","","2:59.0","61","510","","","56","Lwt","Indoor Rower","No","UNLV - Day #1 - 141.5 lb"
"2012-09-23 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-09-22 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-09-21 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-09-20 00:00:00","6,100m row","32:00.0","1920","","","6100","","","","2:37.3","90","609","","","56","Lwt","Indoor Rower","No",""
"2012-09-19 00:00:00","8,600m row","52:00.0","3120","","","8600","","","","3:01.4","59","502","","","56","Lwt","Indoor Rower","No",""
"2012-09-18 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-09-17 00:00:00","9,600m row","1:00:00.0","3600","","","9600","","","","3:07.5","53","482","","","56","Lwt","Indoor Rower","No",""
"2012-09-16 00:00:00","6,100m row","35:00.0","2100","","","6100","","","","2:52.1","69","536","","","56","Lwt","Indoor Rower","No",""
"2012-09-15 00:00:00","6,800m row","39:00.0","2340","","","6800","","","","2:52.0","69","536","","","56","Lwt","Indoor Rower","No",""
"2012-09-14 00:00:00","8,300m row","52:00.0","3120","","","8300","","","","3:07.9","53","481","","","56","Lwt","Indoor Rower","No",""
"2012-09-13 00:00:00","7,100m row","34:00.0","2040","","","7100","","","","2:23.6","118","706","","","56","Lwt","Indoor Rower","No",""
"2012-09-12 00:00:00","7,100m row","39:00.0","2340","","","7100","","","","2:44.7","78","569","","","56","Lwt","Indoor Rower","No",""
"2012-09-11 00:00:00","4,000m row","26:00.0","1560","","","4000","","","","3:15.0","47","462","","","56","Lwt","Indoor Rower","No",""
"2012-09-10 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-09-09 00:00:00","4,500m row","30:00.0","1800","","","4500","","","","3:20.0","44","450","","","56","Lwt","Indoor Rower","No",""
"2012-09-08 00:00:00","7,000m row","44:00.0","2640","","","7000","","","","3:08.5","52","479","","","56","Lwt","Indoor Rower","No",""
"2012-09-07 00:00:00","2,200m row","14:00.0","840","","","2200","","","","3:10.9","50","473","","","56","Lwt","Indoor Rower","No",""
"2012-09-06 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No","rest - arm hurts"
"2012-09-05 00:00:00","7,200m row","36:00.0","2160","","","7200","","","","2:30.0","104","656","","","56","Lwt","Indoor Rower","No",""
"2012-09-04 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-09-03 00:00:00","6,100m row","37:00.0","2220","","","6100","","","","3:01.9","58","500","","","56","Lwt","Indoor Rower","No",""
"2012-09-02 00:00:00","7,000m row","45:00.0","2700","","","7000","","","","3:12.8","49","468","","","56","Lwt","Indoor Rower","No",""
"2012-09-01 00:00:00","5,700m row","33:00.0","1980","","","5700","","","","2:53.6","67","530","","","56","Lwt","Indoor Rower","No",""
"2012-08-31 00:00:00","6,300m row","40:00.0","2400","","","6300","","","","3:10.4","51","474","","","56","Lwt","Indoor Rower","No","145.75 lb"
"2012-08-30 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No","rest, feels like overtraining??"
"2012-08-29 00:00:00","6,200m row","36:00.0","2160","","","6200","","","","2:54.1","66","528","","","56","Lwt","Indoor Rower","No",""
